0.50	dr10:-1:7		dr4:-1:3	dr3:-1:2
0.64	dr10:-1:8	dr5:-1:4		
0.80	dr10:-1:9			
1.00	dr10:0:0	dr5:0:0	dr4:0:0	dr3:0:0
1.25	dr10:0:1			
1.60	dr10:0:2	dr5:0:1	dr4:0:1	
2.00	dr10:0:3			dr3:0:1
2.50	dr10:0:4	dr5:0:2		
3.20	dr10:0:5		dr4:0:2	
4.00	dr10:0:6	dr5:0:3		
5.00	dr10:0:7		dr4:0:3	dr3:0:2
6.40	dr10:0:8	dr5:0:4		
8.00	dr10:0:9			
10.0	dr10:1:0	dr5:1:0	dr4:1:0	dr3:1:0
12.5	dr10:1:1			
16.0	dr10:1:2	dr5:1:1	dr4:1:1	
